127.0.0.1 - - [02/Apr/2017:15:02:58 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:02:58 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:02:58 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:02:58 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:02:58 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:02:58 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:21:15 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:28:29 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
